"","value","L1"
"30","
			
			
			
				어메이징 스파이더맨
			
			
			거미줄처럼 탄탄하고 촘촘한 영화. 히어로의 기원마저 흥미롭게 다룰 수 있다는 사실이 놀랍다. 유머를 빼고 그 빈자리에 드라마를 넣으니 스파이더맨의 새로운 재미를 준다. 
			
			
			
				
				
				
				신고
			
			
			",3
"31","
			
			
			
				어메이징 스파이더맨
			
			
			내가 제일 좋아하는 슈퍼히어로 
			
			
			
				
				
				
				신고
			
			
			",4
"32","
			
			
			
				어메이징 스파이더맨
			
			
			샘레이미와 토비맥과이어가 그립다 
			
			
			
				
				
				
				신고
			
			
			",4
"33","
			
			
			
				어메이징 스파이더맨
			
			
			영화관에서 보지않은게 정말 다행이다 케이블에서 잠시 보고 이글을 남긴다. 
			
			
			
				
				
				
				신고
			
			
			",4
"34","
			
			
			
				어메이징 스파이더맨
			
			
			확실히 전작의 스파이더맨보다는 완성도가 떨어질 수 밖에 없다.그러나 어메이징 스파이더맨 특유의 재미가 있고 훨씬 더 발전한 느낌이 없지않아 있다.근데 나한테는 토비가 더... 
			
			
			
				
				
				
				신고
			
			
			",4
"35","
			
			
			
				어메이징 스파이더맨
			
			
			정말 시간가는줄 몰랐던영화. 연기자들도 너무 연기를 잘해줬고 정말 스릴있었다. 
			
			
			
				
				
				
				신고
			
			
			",4
"36","
			
			
			
				어메이징 스파이더맨
			
			
			역시 스파이더맨은 깐족의 맛이지 
			
			
			
				
				
				
				신고
			
			
			",4
"37","
			
			
			
				어메이징 스파이더맨
			
			
			남녀주인공 외모가 현시대와 맞게 변모 했을뿐 그이상도 아님 
			
			
			
				
				
				
				신고
			
			
			",4
"38","
			
			
			
				어메이징 스파이더맨
			
			
			앤드류너무좋아ㅠ사랑해 
			
			
			
				
				
				
				신고
			
			
			",4
"39","
			
			
			
				어메이징 스파이더맨
			
			
			재밌는데 왜들그러지.. 
			
			
			
				
				
				
				신고
			
			
			",4
"40","
			
			
			
				어메이징 스파이더맨
			
			
			토비 스파가..일상적인 모습 여자친구와의 교감에 신경을 많이 썼다면 앤드류 스파는 화려한 액션에  힘을 많이 기울였다..내 취향은 앤드류쪽... 
			
			
			
				
				
				
				신고
			
			
			",4
"41","
			
			
			
				어메이징 스파이더맨
			
			
			개인적으로는 앤드류 다필드가 연기하는 밝은 스파이더맨이 좋다. 
			
			
			
				
				
				
				신고
			
			
			",5
"42","
			
			
			
				어메이징 스파이더맨
			
			
			리부트판이라고 불리는 어메이징. 낯설기만한 같은내용 
			
			
			
				
				
				
				신고
			
			
			",5
"43","
			
			
			
				어메이징 스파이더맨
			
			
			차라리 히어로물이 아니라 상큼한 하이틴물로 나오는게 훨 나았을듯 앤드류와 엠마 비주얼 최고고 연기도 괜찮았는데 스토리나 개연성은 전작에 비하면 별로였음 
			
			
			
				
				
				
				신고
			
			
			",5
"44","
			
			
			
				어메이징 스파이더맨
			
			
			남녀 주인공 외모 때문에 봄ㅋㅋㅋㅋ원작 잘살렸다 
			
			
			
				
				
				
				신고
			
			
			",5
"45","
			
			
			
				어메이징 스파이더맨
			
			
			하이틴 무비 보는줄.. 
			
			
			
				
				
				
				신고
			
			
			",5
"46","
			
			
			
				어메이징 스파이더맨
			
			
			남주가 디게 동안이네 나보다 
			
			
			
				
				
				
				신고
			
			
			",5
"47","
			
			
			
				어메이징 스파이더맨
			
			
			마블영화는 역시 액션 퀄리티는 굿. 하지만 영화보는 드문드문 전개가 지멋대로라 몰입 안된다 
			
			
			
				
				
				
				신고
			
			
			",5
"48","
			
			
			
				어메이징 스파이더맨
			
			
			손발 오글거림만 주의한다면. 
			
			
			
				
				
				
				신고
			
			
			",5
